SEXO,EDAD,a1992,a1993,a1994,a1995,a1996,a1997,a1998,a1999,a2000,a2001,a2002,a2003,a2004,a2005,a2006,a2007,a2008,a2009,a2010,a2011,a2012,a2013,a2014,a2015,a2016,a2017,a2018,a2019,a2020,a2021,a2022,a2023,a2024,a2025,a2026,a2027,a2028,a2029,a2030,a2031,a2032,a2033,a2034,a2035,a2036,a2037,a2038,a2039,a2040,a2041,a2042,a2043,a2044,a2045,a2046,a2047,a2048,a2049,a2050
2,11,126873,128750,129189,128666,128383,129618,132945,138371,145684,147669,149928,146130,142187,140078,137615,135066,132437,130060,128206,125669,124285,122347,119596,117684,116028,116462,119410,123835,127931,129077,128533,126483,124770,125466,127523,124826,118269,114755,114659,115978,116931,117008,116597,115958,115149,114196,113121,111952,110711,109419,108943,107885,106819,105771,104769,103836,102991,102242,101596
2,12,125023,126850,128731,129174,128658,128381,129621,132951,138380,145694,147683,149950,146166,142231,140147,137697,135170,132535,130159,128360,125849,124360,122452,119723,117878,116463,117186,120301,124716,128297,129177,128576,126512,124797,125492,127549,124852,118296,114783,114687,116006,116959,117037,116625,115987,115179,114225,113151,111982,110742,109450,108974,107917,106851,105803,104801,103869,103023,102275
2,13,124423,124999,126831,128715,129164,128655,128383,129627,132959,138391,145708,147704,149984,146209,142299,140229,137801,135268,132632,130314,128542,125920,124460,122574,119911,118301,117195,118056,121162,125072,128391,129215,128602,126536,124821,125515,127571,124876,118321,114809,114713,116032,116985,117063,116652,116014,115206,114253,113179,112010,110770,109479,109003,107946,106880,105833,104831,103899,103054
2,14,124952,124396,124977,126813,128703,129159,128655,128389,129635,132970,138405,145729,147738,150026,146278,142383,140337,137902,135369,132793,130504,128609,126016,124576,122756,120326,119033,118054,118906,121512,125164,128426,129238,128622,126556,124841,125535,127592,124897,118344,114832,114737,116056,117009,117088,116677,116039,115231,114278,113205,112036,110797,109506,109031,107973,106908,105861,104859,103928
2,15,126274,124921,124370,124956,126798,128695,129158,128659,128396,129646,132985,138428,145766,147784,150097,146366,142497,140444,138009,135541,132996,130565,128699,126127,124750,123157,121075,119868,118879,119245,121598,125195,128446,129255,128638,126573,124859,125553,127610,124916,118364,114853,114758,116078,117030,117109,116699,116061,115254,114301,113229,112060,110821,109531,109056,107999,106934,105887,104886
2,16,127119,126239,124892,124347,124940,126789,128693,129161,128666,128407,129662,133010,138471,145817,147864,150194,146491,142615,140561,138196,135763,133059,130658,128815,126309,125174,124046,121959,120742,119238,119337,121632,125215,128463,129271,128654,126590,124876,125571,127627,124934,118384,114875,114780,116099,117052,117131,116721,116084,115277,114325,113253,112085,110846,109556,109081,108025,106960,105914
2,17,126895,127082,126207,124867,124329,124931,126787,128696,129167,128678,128425,129690,133063,138532,145910,147977,150337,146626,142750,140777,138450,135846,133180,130807,129047,126843,126386,125152,123053,121194,119357,119384,121663,125242,128488,129295,128679,126616,124903,125598,127655,124962,118414,114905,114811,116130,117083,117163,116753,116116,115310,114358,113286,112119,110881,109591,109117,108060,106996
2,18,124995,126856,127049,126181,124849,124321,124930,126792,128705,129180,128697,128456,129757,133142,138650,146049,148152,150500,146788,143007,141079,138578,136026,133399,131143,129804,128577,127945,126694,123695,121370,119432,119438,121711,125287,128533,129340,128724,126662,124950,125645,127702,125010,118464,114956,114862,116182,117135,117215,116805,116169,115363,114412,113340,112173,110935,109646,109172,108116
2,19,122570,124956,126822,127023,126163,124842,124322,124938,126803,128721,129203,128731,128542,129857,133289,138824,146264,148353,150699,147101,143375,141267,138839,136338,133871,132192,132131,130721,130066,127582,123946,121483,119516,119514,121785,125360,128604,129412,128796,126735,125024,125720,127776,125086,118541,115035,114941,116260,117214,117294,116885,116249,115443,114493,113421,112255,111018,109729,109255
2,20,120579,122531,124923,126795,127005,126156,124844,124331,124952,126822,128746,129241,128838,128667,130038,133502,139087,146509,148595,151073,147541,143620,141602,139240,136939,135198,135088,134836,133397,131190,127904,124095,121595,119619,119615,121884,125458,128702,129510,128895,126835,125125,125821,127877,125188,118645,115139,115046,116366,117319,117399,116991,116355,115550,114600,113529,112363,111126,109838
