year,servicio,sexo,edad,cases,py
2017,Metropolitano Norte,T,25-35,17,101283
2017,Metropolitano Norte,F,35-45,11,50626.5
2017,Metropolitano Norte,M,35-45,9,41124
2017,Metropolitano Norte,T,35-45,20,91750.5
2017,Metropolitano Norte,F,45-55,18,50650
2017,Metropolitano Norte,M,45-55,17,43530.5
2017,Metropolitano Norte,T,45-55,35,94180.5
2017,Metropolitano Norte,F,55-65,19,39665.5
2017,Metropolitano Norte,M,55-65,16,34179.5
2017,Metropolitano Norte,T,55-65,35,73845
2017,Metropolitano Norte,F,65-75,12,27082
2017,Metropolitano Norte,M,65-75,10,22116.5
2017,Metropolitano Norte,T,65-75,22,49198.5
2017,Metropolitano Norte,F,>75,1,22715.5
2017,Metropolitano Norte,M,>75,3,13038.5
2017,Metropolitano Norte,T,>75,4,35754
2017,Metropolitano Occidente,F,0-5,1,30681.5
2017,Metropolitano Occidente,M,0-5,2,31637
2017,Metropolitano Occidente,T,0-5,3,62318.5
2017,Metropolitano Occidente,F,5-15,8,66727
2017,Metropolitano Occidente,M,5-15,5,69893
2017,Metropolitano Occidente,T,5-15,13,136620
2017,Metropolitano Occidente,F,15-25,4,76296.5
2017,Metropolitano Occidente,M,15-25,2,71521.5
2017,Metropolitano Occidente,T,15-25,6,147818
2017,Metropolitano Occidente,F,25-35,16,76233
2017,Metropolitano Occidente,M,25-35,9,62946
2017,Metropolitano Occidente,T,25-35,25,139179
2017,Metropolitano Occidente,F,35-45,7,69065
2017,Metropolitano Occidente,M,35-45,9,58224
2017,Metropolitano Occidente,T,35-45,16,127289
2017,Metropolitano Occidente,F,45-55,15,72075
2017,Metropolitano Occidente,M,45-55,10,63466
2017,Metropolitano Occidente,T,45-55,25,135541
2017,Metropolitano Occidente,F,55-65,13,59787
2017,Metropolitano Occidente,M,55-65,10,51994.5
2017,Metropolitano Occidente,T,55-65,23,111781.5
2017,Metropolitano Occidente,F,65-75,8,41225.5
2017,Metropolitano Occidente,M,65-75,3,34480.5
2017,Metropolitano Occidente,T,65-75,11,75706
2017,Metropolitano Occidente,F,>75,2,31272.5
2017,Metropolitano Occidente,M,>75,2,20079.5
2017,Metropolitano Occidente,T,>75,4,51352
2017,Metropolitano Central,F,0-5,1,22858.5
2017,Metropolitano Central,M,0-5,2,23601.5
2017,Metropolitano Central,T,0-5,3,46460
2017,Metropolitano Central,F,5-15,0,43528.5
2017,Metropolitano Central,M,5-15,0,46002.5
2017,Metropolitano Central,T,5-15,0,89531
2017,Metropolitano Central,F,15-25,0,53398
2017,Metropolitano Central,M,15-25,0,48455
2017,Metropolitano Central,T,15-25,0,101853
2017,Metropolitano Central,F,25-35,2,70748
2017,Metropolitano Central,M,25-35,0,53699
2017,Metropolitano Central,T,25-35,2,124447
2017,Metropolitano Central,F,35-45,2,57350.5
2017,Metropolitano Central,M,35-45,3,46023.5
2017,Metropolitano Central,T,35-45,5,103374
2017,Metropolitano Central,F,45-55,3,57968.5
2017,Metropolitano Central,M,45-55,2,45857
2017,Metropolitano Central,T,45-55,5,103825.5
2017,Metropolitano Central,F,55-65,6,51359.5
2017,Metropolitano Central,M,55-65,4,40716.5
2017,Metropolitano Central,T,55-65,10,92076
2017,Metropolitano Central,F,65-75,0,34841
2017,Metropolitano Central,M,65-75,3,26401
2017,Metropolitano Central,T,65-75,3,61242
2017,Metropolitano Central,F,>75,0,28755.5
2017,Metropolitano Central,M,>75,1,15660.5
2017,Metropolitano Central,T,>75,1,44416
2017,Metropolitano Oriente,F,0-5,0,13229
2017,Metropolitano Oriente,M,0-5,1,13607
2017,Metropolitano Oriente,T,0-5,1,26836
2017,Metropolitano Oriente,F,5-15,21,29692
2017,Metropolitano Oriente,M,5-15,10,30849.5
2017,Metropolitano Oriente,T,5-15,31,60541.5
2017,Metropolitano Oriente,F,15-25,13,36768.5
2017,Metropolitano Oriente,M,15-25,7,33575
2017,Metropolitano Oriente,T,15-25,20,70343.5
2017,Metropolitano Oriente,F,25-35,22,45229
2017,Metropolitano Oriente,M,25-35,17,31742.5
2017,Metropolitano Oriente,T,25-35,39,76971.5
2017,Metropolitano Oriente,F,35-45,23,44854
2017,Metropolitano Oriente,M,35-45,18,29511.5
2017,Metropolitano Oriente,T,35-45,41,74365.5
2017,Metropolitano Oriente,F,45-55,37,49019
2017,Metropolitano Oriente,M,45-55,20,32914
2017,Metropolitano Oriente,T,45-55,57,81933
2017,Metropolitano Oriente,F,55-65,33,44899
2017,Metropolitano Oriente,M,55-65,30,28878
