year,region,edad,sexo,cases,py
2016,Bio-Bio y Los Angeles,25-35,M,9,64478
2016,Bio-Bio y Los Angeles,25-35,T,36,141552
2016,Bio-Bio y Los Angeles,35-45,F,26,72681.5
2016,Bio-Bio y Los Angeles,35-45,M,26,59495.5
2016,Bio-Bio y Los Angeles,35-45,T,52,132177
2016,Bio-Bio y Los Angeles,45-55,F,42,78996.5
2016,Bio-Bio y Los Angeles,45-55,M,34,71262
2016,Bio-Bio y Los Angeles,45-55,T,76,150258.5
2016,Bio-Bio y Los Angeles,55-65,F,30,62742.5
2016,Bio-Bio y Los Angeles,55-65,M,36,56699.5
2016,Bio-Bio y Los Angeles,55-65,T,66,119442
2016,Bio-Bio y Los Angeles,65-75,F,19,43936.5
2016,Bio-Bio y Los Angeles,65-75,M,32,37671.5
2016,Bio-Bio y Los Angeles,65-75,T,51,81608
2016,Bio-Bio y Los Angeles,>75,F,8,33636.5
2016,Bio-Bio y Los Angeles,>75,M,10,22893.5
2016,Bio-Bio y Los Angeles,>75,T,18,56530
2016,Los Rios,0-5,F,1,9642
2016,Los Rios,0-5,M,1,9941
2016,Los Rios,0-5,T,2,19583
2016,Los Rios,5-15,F,6,20935
2016,Los Rios,5-15,M,4,21476.5
2016,Los Rios,5-15,T,10,42411.5
2016,Los Rios,15-25,F,13,23411
2016,Los Rios,15-25,M,5,22710.5
2016,Los Rios,15-25,T,18,46121.5
2016,Los Rios,25-35,F,11,22026.5
2016,Los Rios,25-35,M,8,17595
2016,Los Rios,25-35,T,19,39621.5
2016,Los Rios,35-45,F,15,19469
2016,Los Rios,35-45,M,12,15258
2016,Los Rios,35-45,T,27,34727
2016,Los Rios,45-55,F,22,21815.5
2016,Los Rios,45-55,M,16,19145
2016,Los Rios,45-55,T,38,40960.5
2016,Los Rios,55-65,F,16,16790.5
2016,Los Rios,55-65,M,19,15254.5
2016,Los Rios,55-65,T,35,32045
2016,Los Rios,65-75,F,3,11776
2016,Los Rios,65-75,M,5,10209
2016,Los Rios,65-75,T,8,21985
2016,Los Rios,>75,F,4,9703
2016,Los Rios,>75,M,1,6695
2016,Los Rios,>75,T,5,16398
2016,Los Lagos,0-5,F,2,20045
2016,Los Lagos,0-5,M,0,20588.5
2016,Los Lagos,0-5,T,2,40633.5
2016,Los Lagos,5-15,F,14,49407
